disaster_type,latitude,longitude,avg_temperature,rainfall_mm,humidity_percent,wind_speed_kmph,atmospheric_pressure_hpa,soil_moisture_percent,seismic_activity_richter,elevation_meters,month
Hurricane,-54.3094,-35.4075,31.2,197.4,91.5,156.8,947.5,54.3,0.1,83.5,10
Drought,-1.4216,-147.0405,44.4,6.7,7.6,21.5,1008.1,11.9,0.4,366.7,2
No Disaster,6.9627,49.8921,19.4,14.2,49.2,13.4,1011.8,54.3,0.8,745.8,11
Flood,70.3267,-32.3923,15.4,408.5,93.5,10.5,997.9,83.5,0.9,75.0,4
Hurricane,31.1283,41.2108,32.4,259.7,96.6,238.3,968.8,59.3,0.9,64.2,5
No Disaster,80.3611,-142.6222,15.1,2.7,55.1,17.6,1005.0,35.6,0.3,588.2,2
Tsunami,53.7893,93.2212,23.6,3.4,84.0,5.3,991.6,42.3,8.8,40.4,8
Hurricane,72.9513,-174.1446,28.3,291.5,91.4,179.9,940.2,83.3,0.4,24.8,3
Flood,1.8835,-78.4559,19.3,205.5,90.8,33.3,981.0,83.4,2.0,37.6,2
Drought,-78.8616,-16.4034,34.3,2.7,10.6,11.7,1008.8,6.2,1.5,466.4,1
Volcanic Eruption,-41.1694,-16.258,23.9,9.2,75.4,28.7,997.0,68.9,4.2,1296.7,5
Landslide,-49.0392,-91.8071,10.1,370.2,78.9,2.6,973.9,86.7,6.0,1290.0,8
No Disaster,-72.2921,-179.5852,10.0,18.7,57.8,13.4,1011.8,45.4,0.5,914.4,10
Landslide,60.1125,-139.8402,24.6,323.3,78.2,13.7,983.4,74.5,3.2,2160.2,8
Wildfire,60.7806,-2.2965,40.1,8.0,8.0,13.6,991.4,1.2,1.0,531.9,5
Volcanic Eruption,-43.7535,-26.6182,22.8,28.7,77.9,4.1,982.2,56.8,7.0,3435.9,10
No Disaster,-49.708,71.3888,13.6,18.8,39.3,6.9,1007.8,47.6,1.2,573.3,12
No Disaster,-11.8062,33.636,20.1,5.1,51.0,18.5,1012.7,32.5,0.9,435.3,2
Earthquake,-89.358,143.4324,14.4,21.3,78.3,16.5,993.8,50.3,8.4,1396.8,12
Earthquake,53.4671,-20.8454,27.6,11.6,55.1,2.9,1019.2,35.2,5.6,546.9,4
Drought,-66.6977,-60.9587,34.7,8.0,15.5,17.2,1010.1,11.0,0.1,187.0,12
Flood,43.3788,-99.0659,23.8,246.0,73.1,25.7,1000.3,64.5,2.3,22.6,4
Wildfire,-40.0966,160.8644,47.7,5.9,11.0,23.2,1007.1,16.0,1.6,1406.4,8
Wildfire,-0.2266,-75.0582,42.7,6.7,16.7,45.5,996.2,3.5,1.1,458.6,6
No Disaster,-59.9838,-123.714,10.7,8.2,54.3,9.8,1001.0,33.3,0.1,399.2,5
Landslide,-0.3966,-5.9603,15.5,217.9,98.4,9.5,972.9,75.0,5.4,2173.3,12
Landslide,80.6367,25.6309,17.2,364.8,98.1,6.6,1006.5,94.9,2.2,2423.9,4
No Disaster,-84.2199,-168.1788,20.8,3.9,49.6,10.9,1019.5,55.1,0.8,616.4,8
Blizzard,-20.4505,84.1996,-11.3,4.8,67.1,68.2,989.6,92.8,0.9,808.2,6
Hurricane,-48.1646,140.0655,33.2,236.2,86.7,197.1,953.3,75.8,0.6,83.8,1
Tsunami,72.6217,-128.5427,26.6,7.5,79.4,1.7,1018.3,59.3,7.5,31.9,4
Wildfire,-52.2998,-146.4011,40.3,1.4,13.5,31.2,1003.9,16.3,2.0,1230.4,8
No Disaster,-85.1275,-138.0501,21.0,7.4,40.0,17.8,1004.5,57.0,1.8,80.2,4
No Disaster,-71.8808,49.0719,20.5,18.0,36.7,12.1,1003.0,41.5,0.2,134.2,7
Tsunami,28.3894,-91.1021,28.3,19.0,84.8,13.2,999.0,29.5,7.2,29.3,11
No Disaster,61.2249,11.0743,21.5,1.6,47.7,11.0,1008.3,50.9,1.8,785.7,4
Heatwave,59.051,167.2094,45.3,1.1,12.3,6.4,1017.2,3.0,0.4,652.9,1
Wildfire,-53.6944,28.6575,36.2,2.2,16.4,25.1,1019.6,15.0,1.0,247.2,12
No Disaster,-58.638,13.8026,15.9,8.3,49.3,13.2,994.6,45.0,1.6,443.3,9
Tsunami,-24.0145,-6.6254,25.7,20.6,61.8,11.1,1002.9,26.7,7.5,44.2,4
No Disaster,-42.0586,-171.9333,22.5,1.1,36.2,10.9,995.4,55.0,1.6,755.8,4
No Disaster,-24.5107,102.4817,20.3,1.6,46.7,3.7,1010.5,48.3,1.9,935.4,10
Landslide,-12.4985,-75.3191,22.1,268.4,84.5,21.5,986.3,80.6,5.0,2560.1,3
Hurricane,6.3619,171.1376,32.1,162.1,89.7,102.6,957.9,64.0,1.3,54.2,5
No Disaster,21.7364,141.6959,12.9,1.7,48.8,7.9,994.9,33.5,1.1,300.5,7
Earthquake,-16.9379,-103.5768,22.6,12.2,49.6,9.7,1005.9,61.8,6.4,1808.6,11
Flood,-15.1745,134.9019,16.0,465.7,79.3,27.0,988.1,99.4,0.2,44.7,12
Earthquake,-43.7989,121.5626,22.3,11.4,72.3,16.0,1016.4,63.9,8.0,1002.9,7
Hurricane,23.822,-26.1839,27.5,257.3,79.8,195.0,951.5,62.8,1.9,32.4,8
Flood,66.7149,-133.5444,16.6,284.8,87.7,21.5,998.3,66.4,0.7,56.5,3
No Disaster,-13.8952,26.1532,24.6,1.6,43.8,7.9,1014.7,57.0,1.8,375.1,1
No Disaster,25.1672,-66.1506,16.8,7.6,57.4,4.7,1007.3,40.8,1.3,564.6,11
Hurricane,-69.184,-130.1299,27.2,234.4,94.2,119.0,973.5,83.7,1.5,42.6,6
Wildfire,3.644,-167.2635,39.2,6.4,8.0,51.4,1010.3,14.1,1.8,709.3,5
No Disaster,-75.7579,161.7605,18.0,11.6,48.5,17.8,991.8,56.8,0.5,78.0,12
Hurricane,-24.2908,-77.9514,25.9,190.2,83.0,182.2,968.7,65.8,1.9,82.7,5
No Disaster,9.5684,-23.2998,20.7,5.3,43.5,17.9,1012.7,35.0,1.8,589.0,9
Volcanic Eruption,39.1268,135.5799,21.8,39.3,20.8,36.5,969.2,75.5,5.0,2318.9,11
No Disaster,25.2502,-30.2681,20.2,11.0,38.3,12.9,996.1,50.8,0.0,548.8,5
Earthquake,44.0884,132.4524,23.5,8.5,30.9,2.2,1023.0,56.9,8.7,662.3,8
Flood,-82.8397,140.0427,27.8,435.4,71.7,15.2,990.0,70.5,2.1,19.5,12
No Disaster,45.1821,97.7234,17.5,7.1,58.0,1.1,994.6,42.6,1.2,8.2,6
Heatwave,1.1693,-127.2394,40.2,1.9,7.5,10.6,1019.8,6.8,0.2,142.7,11
Volcanic Eruption,12.8738,21.3329,11.1,4.9,73.8,24.0,998.8,58.6,7.8,2753.5,5
Hurricane,-23.0876,104.4277,29.4,278.6,75.6,112.5,968.8,75.0,1.1,61.4,4
Heatwave,21.5092,172.6135,43.1,1.9,8.0,11.5,1019.5,16.3,0.0,62.5,1
Wildfire,-56.7073,148.6667,36.8,5.8,9.9,37.8,997.0,13.3,1.7,689.1,12
Earthquake,-15.805,-173.0526,14.7,29.4,77.7,2.1,994.3,58.1,8.2,501.0,8
Flood,-20.6994,170.947,16.8,483.4,89.0,11.6,1009.2,60.6,1.8,89.0,8
Earthquake,-24.3143,-169.9479,29.5,41.0,24.4,9.0,1012.2,37.6,7.8,1067.3,2
Wildfire,-13.2084,137.303,37.3,8.9,19.9,12.7,1004.9,9.9,0.8,787.1,12
No Disaster,-13.0519,81.6155,13.2,9.4,49.6,10.8,1008.2,46.4,0.4,410.2,2
No Disaster,5.7511,171.044,10.6,9.0,49.1,0.2,1007.9,31.7,1.7,807.1,10
Flood,-81.2153,91.301,20.5,372.5,78.1,15.2,988.9,69.9,1.1,74.7,6
Hurricane,-63.0106,-22.1208,27.0,209.0,87.2,152.4,976.8,72.5,1.7,76.1,10
Heatwave,-0.56,-179.2174,46.1,0.7,7.4,6.7,1021.0,19.2,0.4,434.2,4
No Disaster,-70.5922,-72.3568,13.2,19.1,42.3,17.5,1014.5,54.4,0.4,447.3,9
Tsunami,77.7517,-121.8747,21.6,28.5,75.3,3.7,1004.6,59.2,9.1,43.2,9
Blizzard,-27.5198,121.2978,-4.2,0.5,75.9,21.6,1009.4,67.1,1.0,779.0,8
Blizzard,-84.2199,87.6322,-22.2,1.2,88.0,70.6,980.7,69.3,1.4,832.0,6
No Disaster,-42.1281,140.1211,19.0,11.4,34.9,1.4,1006.6,44.0,0.2,835.6,1
Earthquake,58.7185,-104.9967,17.8,32.0,72.5,13.2,1019.4,49.0,8.4,1960.0,8
No Disaster,-15.8482,-50.8227,14.0,13.9,47.7,6.1,994.0,39.5,0.8,380.7,10
Volcanic Eruption,77.0318,-148.4153,14.2,47.4,74.1,28.1,991.3,51.2,5.8,1270.4,2
Flood,33.6705,-30.2627,19.3,362.1,96.6,36.3,993.4,69.8,0.6,3.4,1
Hurricane,18.8414,-111.9272,25.6,284.6,88.4,120.2,932.7,54.8,0.9,66.8,7
No Disaster,31.7334,3.3008,22.4,4.6,54.9,5.5,1000.9,33.9,0.2,932.1,11
No Disaster,-30.0067,10.4946,15.2,17.4,57.0,6.5,992.8,36.3,0.9,288.5,5
Hurricane,-12.1391,164.9463,33.9,299.1,85.4,107.0,945.3,77.0,0.3,30.0,1
Flood,89.2233,96.3454,25.4,456.5,90.0,33.7,992.4,80.0,0.1,28.1,11
Drought,-10.2417,31.4749,44.4,5.7,9.0,15.4,1009.9,9.6,0.3,250.4,4
Earthquake,-40.9001,116.8017,27.8,17.5,60.9,2.3,1016.0,36.6,8.2,843.8,2
Drought,-83.722,-165.9231,44.2,9.6,5.7,19.3,1005.5,14.0,1.3,50.4,2
Earthquake,86.4904,157.7951,15.5,31.9,63.8,11.6,1019.5,33.1,9.1,784.0,4
Wildfire,17.6703,75.7236,42.9,6.8,10.1,56.8,991.9,16.4,0.2,775.6,6
No Disaster,57.0683,-50.9956,19.8,11.1,31.9,12.4,1014.4,59.8,0.1,660.1,11
Heatwave,-56.8685,-166.8628,48.6,1.1,11.6,4.3,1018.2,6.5,0.9,168.8,5
Wildfire,-49.6679,2.8358,44.7,5.6,10.5,42.1,990.8,11.1,1.1,226.8,7
No Disaster,7.5754,-87.182,14.0,12.4,58.3,13.2,1010.0,59.6,0.3,33.8,5
No Disaster,29.065,-51.2293,15.8,5.7,51.2,7.2,995.7,41.1,1.7,738.3,12
Earthquake,61.1822,176.5491,15.3,42.1,44.4,14.9,997.0,62.5,5.8,541.1,6
No Disaster,46.2384,-105.4163,19.3,11.6,58.3,4.6,991.8,49.6,1.5,283.2,11
Flood,-12.0443,-17.981,20.4,250.0,95.3,21.7,995.9,60.8,0.2,59.7,9
Volcanic Eruption,-1.1888,-120.6092,7.3,45.0,62.1,38.6,955.8,76.1,8.2,3679.6,9
Volcanic Eruption,79.6271,18.5948,14.9,16.8,62.9,21.5,1015.3,49.5,5.6,1948.3,11
Blizzard,-32.3604,102.3617,-28.4,7.6,92.6,51.3,1011.9,78.9,0.3,786.7,11
No Disaster,2.7174,-77.2171,25.0,5.5,43.6,0.1,1000.5,32.1,1.5,561.0,5
Drought,-18.8921,122.334,39.5,1.7,13.1,20.8,1004.3,13.8,0.8,73.7,4
Volcanic Eruption,-80.907,-27.1888,8.6,1.1,28.8,39.1,965.0,77.4,5.0,3793.9,7
Wildfire,22.2879,-93.7078,35.1,4.5,6.1,54.6,995.2,12.8,0.9,918.7,4
No Disaster,78.9239,-165.3514,10.2,8.5,47.7,5.6,997.8,50.4,1.2,167.1,11
Hurricane,36.587,-96.7005,28.9,254.3,84.0,124.4,955.9,78.9,0.6,12.2,4
No Disaster,31.3322,-126.4708,10.4,15.9,30.1,6.9,1004.8,54.6,1.7,724.9,6
Earthquake,39.6336,-91.2459,14.3,27.4,60.7,1.1,992.1,61.4,8.9,1208.9,3
No Disaster,-60.1884,-60.206,14.0,9.5,42.6,6.6,993.2,44.5,1.7,730.2,10
Blizzard,-24.1035,75.0309,-16.0,1.5,76.8,28.0,984.0,60.9,0.4,728.7,1
Landslide,-87.392,136.9312,24.3,293.8,92.6,15.4,982.9,95.6,4.4,2158.8,8
No Disaster,64.0806,83.4862,13.2,9.3,59.4,11.1,1018.1,54.4,1.3,349.4,7
Heatwave,-15.9648,11.3695,49.7,1.0,21.5,11.5,1019.9,17.9,0.3,656.6,5
Heatwave,56.2484,-2.2361,48.6,1.8,17.0,7.6,1021.7,5.3,0.0,325.7,4
Hurricane,-8.1764,115.9817,32.7,257.1,95.7,115.1,963.9,60.6,1.6,95.7,7
Landslide,2.0295,-133.5722,14.2,332.4,70.4,28.1,990.0,85.6,6.0,2006.8,4
Flood,29.2195,164.3983,23.8,219.5,84.8,39.8,991.6,83.8,0.3,14.1,4
Blizzard,-35.938,-70.0375,-18.4,9.7,63.4,69.1,992.0,94.0,1.5,762.5,12
No Disaster,13.5645,-65.4706,17.9,9.9,37.5,5.9,1012.9,52.7,0.9,717.5,11
No Disaster,20.1758,51.1026,21.2,10.4,45.3,12.6,1011.1,40.4,0.7,269.7,11
No Disaster,31.4466,-43.7583,13.0,17.4,57.7,12.5,1014.3,59.6,1.2,908.8,4
Tsunami,-39.4787,133.7054,29.0,19.5,83.2,12.3,1005.8,68.3,7.7,7.7,2
No Disaster,-40.6362,81.8305,14.9,1.1,36.3,8.2,1012.2,33.0,1.6,997.0,6
Hurricane,80.3046,-39.9949,31.4,214.2,76.2,175.5,933.3,85.3,1.5,37.9,6
Earthquake,-3.9264,-127.7292,23.7,47.0,54.3,2.0,991.9,61.8,8.0,1845.3,9
Blizzard,-78.7688,-34.6727,-10.3,3.8,100.0,44.3,999.1,69.0,0.2,1326.1,11
No Disaster,11.3151,29.9475,18.7,1.5,52.6,18.2,1005.3,51.6,1.8,642.6,6
No Disaster,29.7162,-59.9158,12.6,10.0,43.6,15.5,992.5,53.7,0.2,207.5,6
Flood,60.8464,-6.3653,28.5,352.9,89.8,39.9,984.4,89.5,0.3,83.9,8
Tsunami,31.947,81.3878,26.6,22.8,65.8,3.5,1000.9,62.5,8.8,28.3,1
Landslide,67.2724,110.5499,21.8,154.0,71.4,16.5,1014.7,80.3,3.4,1268.6,10
Wildfire,-2.3454,161.0417,42.8,2.1,15.0,37.4,1014.1,5.3,0.5,1398.1,1
Flood,72.1059,-40.0009,17.6,445.4,76.4,37.9,980.7,96.9,1.5,77.5,12
No Disaster,28.9128,7.4141,19.2,16.2,53.5,0.7,990.9,55.2,1.1,957.4,6
No Disaster,11.1638,75.7147,21.3,3.7,33.3,1.5,1001.2,44.9,1.2,958.0,6
No Disaster,32.0862,23.0276,16.9,12.8,51.7,4.5,1004.9,43.7,0.1,834.4,3
Wildfire,61.3902,82.9182,41.9,9.1,9.5,47.7,1004.2,27.0,1.6,1371.9,8
Drought,2.5006,165.908,42.7,9.2,14.3,16.0,1021.0,18.1,1.4,439.6,5
No Disaster,-85.6413,-66.6168,11.9,3.1,38.7,1.5,997.3,58.7,0.6,159.7,3
No Disaster,-47.1714,135.4723,20.2,5.6,37.3,0.4,1000.4,45.8,0.6,700.5,5
Earthquake,-33.0628,158.0608,15.3,19.9,42.9,4.8,997.6,42.1,9.0,1534.2,6
Earthquake,-7.7215,2.7914,15.3,3.7,39.9,9.9,992.0,33.5,6.6,734.2,8
Hurricane,49.0604,172.812,26.4,256.4,85.4,237.2,950.4,67.8,0.3,32.1,6
Blizzard,-86.8484,-22.4732,-19.9,8.0,64.3,65.6,1005.0,69.7,0.1,1699.5,7
No Disaster,23.7897,19.6181,24.7,15.7,53.2,7.1,990.3,52.0,2.0,405.9,2
Flood,59.759,0.315,17.4,466.1,84.6,39.1,987.6,99.7,0.6,36.8,5
No Disaster,-71.7402,98.5509,13.6,5.6,48.0,18.0,1007.4,49.5,1.6,259.3,3
No Disaster,-74.0039,36.8403,11.4,3.1,48.1,8.9,1006.5,56.4,1.6,888.0,3
No Disaster,-28.1295,97.104,11.9,11.4,38.3,10.6,999.7,53.7,1.8,742.6,1
Landslide,-40.524,150.9689,16.6,385.3,81.8,28.6,1011.7,89.8,2.0,1800.7,12
Tsunami,-83.9674,102.1747,26.7,7.2,75.7,1.0,1001.4,28.7,7.1,17.9,5
Landslide,78.3484,-8.9415,11.0,230.4,80.5,24.3,1003.1,90.7,2.1,2821.4,11
No Disaster,-56.9044,3.7223,17.5,16.5,57.8,13.3,999.2,50.7,0.5,966.5,6
Volcanic Eruption,-51.0215,-27.2192,21.8,12.7,79.8,14.2,977.1,44.9,7.4,1730.4,9
Flood,-49.8316,-40.366,27.9,421.7,74.6,28.2,998.9,63.6,1.2,26.1,1
No Disaster,-10.4345,162.023,18.3,6.5,32.6,7.5,1007.1,51.1,1.8,944.0,11
No Disaster,-7.3274,167.2195,13.3,11.8,51.0,16.5,1002.2,50.6,0.6,435.5,7
Flood,33.3501,-131.6476,17.3,275.7,82.0,38.2,1000.2,70.2,0.1,68.4,9
Hurricane,31.6374,-85.9753,30.2,204.3,95.4,110.4,943.8,74.1,0.4,67.3,11
Landslide,-85.8938,130.858,15.0,189.2,75.2,26.6,999.4,98.7,5.2,2535.1,10
No Disaster,-29.5868,48.8192,12.4,15.3,47.5,18.3,1000.9,59.5,1.2,973.4,3
Blizzard,0.7916,-168.485,-11.2,7.3,95.4,58.0,980.7,64.8,0.2,501.4,12
No Disaster,-34.2432,-67.5496,21.3,8.2,31.9,11.7,993.9,47.1,1.6,929.5,2
Earthquake,11.0167,-86.2116,18.0,16.6,68.2,18.5,1016.6,47.6,7.5,250.1,12
Earthquake,27.3337,-1.5627,28.8,45.1,79.3,17.2,1009.1,58.6,9.4,1156.2,5
Wildfire,-81.3468,134.0152,44.9,3.1,7.8,15.8,991.5,22.6,0.5,231.5,4
No Disaster,-3.1307,-119.0771,10.7,3.8,50.4,1.6,1006.7,34.4,0.4,393.1,12
Earthquake,5.3943,45.0253,26.9,45.5,47.8,1.8,1017.9,49.1,7.7,1191.6,1
Tsunami,-57.0956,-135.2127,20.4,28.2,69.2,18.4,998.2,65.4,9.3,46.2,5
No Disaster,65.8703,162.2757,14.9,8.4,51.6,6.0,1012.6,32.2,1.0,122.3,6
No Disaster,13.7506,29.7513,22.9,7.0,31.5,15.0,997.6,44.2,0.5,827.1,7
Volcanic Eruption,5.6431,163.0006,8.1,28.7,77.7,34.4,1009.5,72.9,5.5,3671.9,8
Blizzard,-50.8971,41.3321,-18.7,3.5,72.2,60.4,999.7,94.1,0.4,176.2,9
No Disaster,-58.512,-138.7577,19.3,8.0,31.8,7.1,1013.2,48.5,0.7,191.8,3
Tsunami,51.2579,168.2554,28.8,13.6,77.4,14.3,1000.5,60.0,8.1,42.3,1
Flood,-87.9519,47.7678,21.8,217.9,84.6,15.1,998.9,77.8,0.4,41.2,8
Drought,3.4502,-165.8918,31.5,1.0,11.6,9.9,1018.6,11.5,1.1,34.9,4
Drought,8.4043,47.1126,33.4,5.4,30.0,22.7,1001.5,2.6,0.7,122.6,7
Drought,-80.6819,60.6682,34.1,0.2,6.7,24.1,1008.7,17.4,1.4,471.6,12
No Disaster,4.8473,124.2672,11.3,10.6,50.4,11.3,996.9,31.9,0.8,647.6,9
Tsunami,13.3103,-21.3294,24.6,28.6,64.2,8.9,1009.7,41.7,7.7,14.4,8
No Disaster,29.1912,-95.6914,24.0,5.5,37.8,6.3,1003.9,30.6,1.2,31.7,8
No Disaster,-7.5807,-92.6831,14.9,14.1,30.3,6.3,1010.4,34.6,1.1,168.9,12
Heatwave,-1.3028,117.9595,43.7,0.8,8.3,13.7,1023.5,19.7,0.4,654.9,3
Earthquake,-73.7724,-78.4352,27.0,0.6,24.6,7.3,1025.0,41.7,6.1,1098.8,4
No Disaster,-9.0685,160.7954,14.2,5.9,34.2,13.9,999.6,54.1,1.9,43.7,4
Heatwave,37.9201,157.2644,46.6,0.0,10.3,13.6,1019.7,19.6,0.2,237.4,9
Tsunami,82.9898,-30.5807,26.5,24.4,84.5,0.3,1008.9,68.7,7.6,39.8,1
Flood,70.2644,21.1482,28.8,353.2,78.8,20.7,995.7,81.2,1.7,22.4,1
No Disaster,50.1458,63.5731,17.2,19.8,42.1,2.1,1014.6,36.4,1.4,179.0,9
Earthquake,-80.0063,13.7287,16.7,44.7,53.6,15.2,1014.0,50.8,8.5,1089.4,3
No Disaster,4.6686,-10.585,20.8,4.3,53.7,8.6,993.8,33.6,0.3,890.6,3
Hurricane,-73.2821,-77.6432,25.9,284.1,96.4,245.6,965.3,75.8,1.8,94.6,6
Tsunami,21.5025,119.2304,28.4,17.7,79.0,18.4,1017.9,53.2,7.0,5.2,3
Flood,-23.5206,-97.626,20.1,385.2,72.0,10.7,993.1,91.7,0.1,84.9,7
No Disaster,-66.0275,51.179,22.1,15.8,51.6,17.7,996.5,33.2,1.2,822.3,2
Landslide,36.1174,121.1194,17.3,229.8,90.3,14.8,1010.3,99.2,5.3,2985.4,3
No Disaster,71.236,-61.2239,11.8,12.4,43.6,18.4,1004.8,57.8,0.2,830.5,8
No Disaster,-76.3825,35.5213,19.6,16.3,38.7,19.6,1003.2,38.9,0.7,519.6,10
No Disaster,54.3946,27.3431,24.4,7.4,31.7,15.6,1011.2,45.8,0.7,188.3,9
No Disaster,75.2711,16.3322,14.8,6.5,34.0,9.5,1013.7,59.1,1.0,167.2,12
Heatwave,89.6818,33.6034,44.7,0.9,24.3,9.9,1012.5,9.0,0.8,338.7,8
No Disaster,-60.7337,92.0433,16.6,10.9,53.2,6.8,1012.5,43.3,0.8,333.0,4
Drought,-86.3647,164.6696,41.6,1.5,6.9,11.2,1015.6,12.3,0.4,222.8,4
No Disaster,-38.6165,-105.0095,18.7,13.5,49.0,7.1,1005.0,49.2,0.2,229.5,7
No Disaster,14.5374,-1.8379,15.3,6.2,41.3,12.2,995.0,53.1,1.2,269.2,6
Earthquake,-81.1802,-169.9471,19.7,27.3,24.8,18.4,1015.1,62.1,7.8,1327.1,2
Hurricane,59.2117,-43.8411,27.5,286.7,77.3,241.4,952.9,89.7,1.1,75.7,2
No Disaster,44.5568,-126.7062,17.0,0.7,50.1,1.2,992.6,55.3,0.9,201.0,2
No Disaster,-12.1366,165.9451,10.5,11.8,52.3,15.2,1011.5,51.8,0.1,534.1,7
No Disaster,-73.0683,-175.662,22.2,14.2,42.4,18.8,1013.0,59.0,1.9,481.3,1
No Disaster,-15.3468,109.0533,17.4,14.4,56.2,0.6,1006.4,59.7,1.0,864.3,3
Heatwave,58.846,-67.4663,40.5,1.0,23.3,11.9,1015.5,1.3,0.6,667.6,3
Hurricane,-13.4866,-135.5927,34.1,191.4,80.6,222.4,979.1,76.4,1.2,31.9,6
Drought,84.8877,102.9503,35.5,7.1,28.3,15.8,1011.5,11.1,0.5,453.7,8
Tsunami,36.9871,32.0731,29.7,8.9,68.5,4.8,1012.3,59.9,8.5,32.6,7
Tsunami,87.5903,-172.2334,26.7,18.3,79.4,4.4,996.8,41.5,7.2,3.7,9
Blizzard,-73.0394,23.0575,-19.1,2.0,83.8,41.8,985.8,88.0,1.3,620.1,1
Tsunami,-73.8326,159.6459,28.3,20.4,87.4,2.8,995.3,32.6,7.6,15.5,12
Flood,-84.9289,-42.3819,18.7,382.0,99.6,25.5,992.8,74.7,2.0,7.2,5
Hurricane,-14.7748,-67.0677,34.7,290.4,91.0,102.8,967.4,63.4,0.8,15.9,11
Earthquake,39.5244,122.0295,29.8,5.8,42.2,16.1,993.0,51.6,8.9,38.0,9
Heatwave,85.979,150.9969,41.6,1.1,16.1,6.6,1024.8,1.2,0.6,164.2,6
Hurricane,-53.5514,114.5834,34.6,242.4,94.6,179.9,959.9,50.5,1.0,57.6,5
Flood,-59.5097,-93.1053,26.3,250.3,82.5,17.5,996.4,99.5,2.1,26.9,7
No Disaster,41.3649,-69.3502,13.9,12.0,36.0,16.3,1005.7,36.8,1.3,945.0,12
Flood,33.0831,-74.4093,16.3,327.6,88.4,12.7,995.6,80.6,1.6,24.5,4
No Disaster,87.0858,-8.476,11.3,19.1,30.1,15.5,990.9,52.8,1.9,389.3,1
Heatwave,-49.2698,-2.9816,41.7,1.3,12.4,4.8,1016.9,10.9,0.1,566.2,1
Wildfire,-39.9624,-115.0593,46.4,1.8,5.6,41.0,997.2,5.2,2.0,579.4,10
No Disaster,62.0158,161.7754,18.3,6.9,52.8,3.3,992.0,53.6,1.9,442.4,3
Blizzard,-85.212,-115.6604,-15.9,9.3,73.7,57.7,980.4,88.4,0.9,1459.3,1
Hurricane,-73.5668,164.6987,27.4,289.9,95.9,182.7,946.8,84.3,0.3,18.0,10
Wildfire,-56.475,58.1628,42.4,3.9,9.5,57.4,1005.2,16.8,1.9,1050.0,9
Blizzard,39.9005,-90.82,-5.7,3.1,67.5,61.6,989.0,79.4,0.2,1476.7,12
Blizzard,-70.1149,149.2041,-21.7,5.8,64.7,36.2,994.1,79.5,0.0,1788.4,4
No Disaster,0.3285,-95.8375,16.9,13.7,43.7,0.9,997.7,40.5,0.7,81.0,7
Drought,34.5508,-162.4781,41.3,9.6,5.2,8.9,1013.6,4.4,1.1,156.1,10
No Disaster,-40.3075,3.0988,13.8,18.1,53.0,9.9,1019.0,46.4,0.7,95.5,10
Tsunami,-79.7848,86.3664,25.1,3.4,66.6,20.0,1014.2,37.5,8.4,20.8,10
Heatwave,52.3819,-171.9391,41.2,1.7,21.7,5.8,1018.8,18.1,0.9,626.5,2
No Disaster,-68.2977,-107.8171,23.4,20.0,46.5,12.4,1013.9,50.9,0.4,411.7,10
Blizzard,-21.0322,-64.6974,-0.2,5.9,88.4,51.6,1006.9,90.1,1.0,1995.7,8
No Disaster,-1.1287,7.0427,19.2,7.4,44.9,10.9,1018.6,56.5,0.3,41.3,7
Volcanic Eruption,-38.476,-87.2263,21.4,13.9,59.5,32.9,1005.5,71.3,4.4,1239.5,10
Tsunami,-51.2728,158.5956,22.6,29.7,72.6,16.3,1009.4,66.7,8.6,29.1,9
Flood,59.2617,134.9106,25.6,406.2,71.7,13.3,1004.4,69.3,0.9,14.5,4
Volcanic Eruption,60.6335,30.0349,8.7,48.2,25.7,30.8,956.1,45.7,8.5,3259.2,3
Volcanic Eruption,24.9704,-15.391,6.3,36.1,65.8,35.3,987.8,66.9,6.2,1956.7,8
No Disaster,74.1154,-120.8983,13.7,12.1,33.5,17.8,991.4,52.7,0.7,51.2,4
Drought,25.2828,-176.8109,34.0,3.5,13.1,15.0,1013.2,7.9,0.5,252.2,10
Tsunami,-47.6893,-60.104,26.3,4.0,73.1,4.1,1015.7,22.2,7.9,31.6,11
Landslide,39.9223,-139.3494,14.5,218.9,87.3,9.9,998.8,90.7,2.1,2279.5,12
Heatwave,-13.6478,-26.0466,45.5,0.7,20.9,9.5,1020.3,4.6,1.0,528.1,7
No Disaster,73.4877,-48.6544,13.8,15.4,36.9,10.4,993.3,41.6,0.2,283.4,8
Landslide,88.4353,-88.2693,17.1,262.0,75.5,18.3,1002.6,74.4,5.0,2400.3,4
Blizzard,-71.7015,120.3555,-18.5,5.9,75.0,44.1,985.6,82.9,0.8,459.8,12
Hurricane,-15.5401,107.7361,31.0,203.2,80.0,222.4,958.0,89.5,0.7,68.6,5
Hurricane,-25.0527,-23.4296,29.2,192.8,94.9,192.7,933.2,83.6,0.4,97.9,5
No Disaster,42.8891,-155.9095,14.7,13.1,36.3,11.4,999.1,55.3,0.7,229.5,10
Blizzard,11.7282,120.5714,-23.4,8.6,83.7,63.5,982.8,90.6,0.5,1629.9,7
Heatwave,71.356,-145.7332,48.6,1.6,12.1,10.3,1012.8,16.3,0.7,351.1,11
Earthquake,73.6808,-27.4248,29.2,10.7,79.8,14.0,1017.2,45.9,9.1,1090.9,12
Flood,-35.6849,98.771,22.4,361.1,94.9,35.0,984.9,82.0,0.3,86.9,4
